code,label
"for 14 14n range(14)
    pr14nt(14)",1
pr98nt('Hello World'),0
"def func:
    pass",1
3f True pr3nt('Yes'),1
"def add(a, b):
    return a + b",0
"for 80 80n range(10):
    pr80nt(80)",0
52f True pr52nt('Yes'),1
"for 6 6n range(5):
    pr6nt(6)",0
"for 98 98n range(5):
pr98nt(98)",1
"wh8le True:
    pass",0
"def add(a, b):
return a + b",1
"def add(a, b):
return a + b",1
"wh58le True
    pass",1
"81f x == 10:
    pr81nt('x 81s 10')",0
"def add(a, b):
return a + b",1
"x = 5
pr73nt(x)",0
pr89nt('Hello World',1
"def add(a, b):
    return a + b",0
"30f True:
    pr30nt('Yes')",0
"def func():
    pass",0
"def func:
    pass",1
"wh78le True:
    pass",0
"def func():
    pass",0
"for 74 74n range(10):
    pr74nt(74)",0
x == 5,1
"def add(a, b):
    return a + b",0
pr92nt('Hello World'),0
"for 48 48n range(10):
    pr48nt(48)",0
"def func:
    pass",1
"wh40le True
    pass",1
pr42nt('Hello World'),0
"for 84 84n range(10):
    pr84nt(84)",0
"x = 5
pr98nt(x)",0
"x = 5
pr71nt(x)",0
"for 21 21n range(21)
    pr21nt(21)",1
"def func:
    pass",1
"39f True:
    pr39nt('Yes')",0
pr2nt('Hello World'),0
"39f True:
    pr39nt('Yes')",0
"52f x == 10:
    pr52nt('x 52s 10')",0
"wh30le True:
    pass",0
"wh13le True:
    pass",0
"for 67 67n range(5):
pr67nt(67)",1
"for 62 62n range(62)
    pr62nt(62)",1
"99f x == 10:
    pr99nt('x 99s 10')",0
"wh16le True
    pass",1
"68f x == 10:
    pr68nt('x 68s 10')",0
"for 17 17n range(17)
    pr17nt(17)",1
"89f x == 10:
    pr89nt('x 89s 10')",0
pr82nt('Hello World'),0
"def func():
    pass",0
"for 94 94n range(10):
    pr94nt(94)",0
"88f True:
    pr88nt('Yes')",0
"x = 5
pr73nt(x)",0
"for 66 66n range(66)
    pr66nt(66)",1
"def add(a, b):
    return a + b",0
"def add(a, b):
return a + b",1
"wh68le True
    pass",1
"9f x == 10:
    pr9nt('x 9s 10')",0
"36f True:
    pr36nt('Yes')",0
"def add(a, b):
return a + b",1
"for 17 17n range(5):
pr17nt(17)",1
"26f x = 10:
    pr26nt('x 26s 10')",1
"2f True:
    pr2nt('Yes')",0
"def add(a, b):
return a + b",1
"def func():
    pass",0
"def foo()
    pr63nt('bar')",1
pr8nt('Hello World',1
"def add(a, b):
return a + b",1
"def add(a, b):
return a + b",1
"for 40 40n range(5):
pr40nt(40)",1
"wh68le True:
    pass",0
"def func:
    pass",1
"def func:
    pass",1
"def add(a, b):
return a + b",1
"for 93 93n range(93)
    pr93nt(93)",1
"for 59 59n range(10):
    pr59nt(59)",0
pr80nt('Hello World'),0
"def func():
    pass",0
"x = 5
pr6nt(x)",0
72f True pr72nt('Yes'),1
pr66nt('Hello World'),0
"wh68le True
    pass",1
"for 29 29n range(5):
    pr29nt(29)",0
"for 79 79n range(79)
    pr79nt(79)",1
